,prazo,preco,frete,cep_prefixo,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,hora,convertido
prazo,1.0,3.9414786342881365e-05,0.0005397110818296696,0.0005180079064280299,-0.0004226542106258165,-8.153644932728393e-05,-0.00024503386825565636,5.255066555682612e-05,0.00020354253053575657,-0.000749590322081692,5.780619004900186e-05,,0.0006437458328991541
preco,3.9414786342881365e-05,1.0,-0.02353157514116854,-0.00048415557934704907,-9.481534704500126e-05,-0.0009081537923989359,-0.0002121732008272985,0.00016603202950816827,0.00032756158992876293,-0.00027463763998093657,0.0007820852827475898,,0.000215673824962529
frete,0.0005397110818296696,-0.02353157514116854,1.0,-0.000735221261713962,0.0009615715097504489,0.00033384215650146646,0.0004666298537064947,8.86674273403547e-06,-0.0013384046647469245,0.00038803561696159147,-0.0010269955139871995,,0.001405848098324491
cep_prefixo,0.0005180079064280299,-0.00048415557934704907,-0.000735221261713962,1.0,0.000312651255938295,-0.00016208299667500148,0.0003070826846370902,6.22528373849923e-05,4.197771727516189e-05,-8.684579463152749e-05,0.0007939378204265585,,-1.8854333625058666e-06
product_name_lenght,-0.0004226542106258165,-9.481534704500126e-05,0.0009615715097504489,0.000312651255938295,1.0,0.10051359747585226,0.15304411583652233,0.0989996280839255,0.08033403018084934,-0.03920065406527367,0.06835608818126003,,-0.00021937522818057416
product_description_lenght,-8.153644932728393e-05,-0.0009081537923989359,0.00033384215650146646,-0.00016208299667500148,0.10051359747585226,1.0,0.12564714216783185,0.10824019645460835,-0.007946110050293166,0.09953604874278917,-0.055738628397570926,,-0.0005464795357842145
product_photos_qty,-0.00024503386825565636,-0.0002121732008272985,0.0004666298537064947,0.0003070826846370902,0.15304411583652233,0.12564714216783185,1.0,0.009465464054990502,0.040582185362743564,-0.03981715016623177,0.0023326793822952916,,-0.0006718305034203101
product_weight_g,5.255066555682612e-05,0.00016603202950816827,8.86674273403547e-06,6.22528373849923e-05,0.0989996280839255,0.10824019645460835,0.009465464054990502,1.0,0.6163251704010154,0.5233453190917828,0.6052656285338645,,0.00024557177293875395
product_length_cm,0.00020354253053575657,0.00032756158992876293,-0.0013384046647469245,4.197771727516189e-05,0.08033403018084934,-0.007946110050293166,0.040582185362743564,0.6163251704010154,1.0,0.2488625364800965,0.612873246135251,,0.00046464685223723904
product_height_cm,-0.000749590322081692,-0.00027463763998093657,0.00038803561696159147,-8.684579463152749e-05,-0.03920065406527367,0.09953604874278917,-0.03981715016623177,0.5233453190917828,0.2488625364800965,1.0,0.36363925800188407,,0.0002851079680451023
product_width_cm,5.780619004900186e-05,0.0007820852827475898,-0.0010269955139871995,0.0007939378204265585,0.06835608818126003,-0.055738628397570926,0.0023326793822952916,0.6052656285338645,0.612873246135251,0.36363925800188407,1.0,,-0.00046834659517740223
hora,,,,,,,,,,,,,
convertido,0.0006437458328991541,0.000215673824962529,0.001405848098324491,-1.8854333625058666e-06,-0.00021937522818057416,-0.0005464795357842145,-0.0006718305034203101,0.00024557177293875395,0.00046464685223723904,0.0002851079680451023,-0.00046834659517740223,,1.0
