,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
cols,cep_prefixo,coordenadas,data,datetime,frete,hora,prazo,preco,product_category_name,product_description_lenght,product_height_cm,product_id,product_id_off,product_length_cm,product_name_lenght,product_photos_qty,product_weight_g,product_width_cm,purchase_id,visit_id
index,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9256350161525306,1.9256350161525306,0.006334325711028061,0.0,84.36054981947171,0.006334325711028061,1.9256350161525306,1.9256350161525306,0.006334325711028061,0.006334325711028061,84.36054981947171,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7871432381968526,1.7871432381968526,0.010669511869831954,0.0,86.36969858628967,0.010669511869831954,1.7871432381968526,1.7871432381968526,0.010669511869831954,0.010669511869831954,86.36969858628967,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7279788066710817,1.7279788066710817,0.0,0.0,86.29056535613222,0.0,1.7279788066710817,1.7279788066710817,0.0,0.0,86.29056535613222,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8902720147533425,1.8902720147533425,0.013172627280511098,0.0,81.62418494368701,0.013172627280511098,1.8902720147533425,1.8902720147533425,0.013172627280511098,0.013172627280511098,81.62418494368701,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.825658919558851,1.825658919558851,0.0,0.0,82.02380210605023,0.0,1.825658919558851,1.825658919558851,0.0,0.0,82.02380210605023,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7859615118371868,1.7859615118371868,0.013844662882458813,0.0,82.29959850477641,0.013844662882458813,1.7859615118371868,1.7859615118371868,0.013844662882458813,0.013844662882458813,82.29959850477641,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989977485656184,1.989977485656184,0.007262691553489724,0.0,85.28578691262982,0.007262691553489724,1.989977485656184,1.989977485656184,0.007262691553489724,0.007262691553489724,85.28578691262982,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8143981270729013,1.8143981270729013,0.006503219093451258,0.0,84.65240293945503,0.006503219093451258,1.8143981270729013,1.8143981270729013,0.006503219093451258,0.006503219093451258,84.65240293945503,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761467889908257,1.761467889908257,0.007339449541284403,0.0,82.7743119266055,0.007339449541284403,1.761467889908257,1.761467889908257,0.007339449541284403,0.007339449541284403,82.7743119266055,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8024708026733276,1.8024708026733276,0.0,0.0,82.86640113413894,0.0,1.8024708026733276,1.8024708026733276,0.0,0.0,82.86640113413894,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5914213510006148,1.5914213510006148,0.013660269107301413,0.0,84.0789563554402,0.013660269107301413,1.5914213510006148,1.5914213510006148,0.013660269107301413,0.013660269107301413,84.0789563554402,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019835510401548,2.019835510401548,0.0,0.0,83.73246250604741,0.0,2.019835510401548,2.019835510401548,0.0,0.0,83.73246250604741,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8041068031227447,1.8041068031227447,0.0196811651249754,0.0,83.77615954864528,0.0196811651249754,1.8041068031227447,1.8041068031227447,0.0196811651249754,0.0196811651249754,83.77615954864528,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8108788889645313,1.8108788889645313,0.006807815372047111,0.0,84.25352304445504,0.006807815372047111,1.8108788889645313,1.8108788889645313,0.006807815372047111,0.006807815372047111,84.25352304445504,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5403573629081946,1.5403573629081946,0.00684603272403642,0.0,83.15875949887041,0.00684603272403642,1.5403573629081946,1.5403573629081946,0.00684603272403642,0.00684603272403642,83.15875949887041,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8465909090909092,1.8465909090909092,0.0,0.0,84.43587662337663,0.0,1.8465909090909092,1.8465909090909092,0.0,0.0,84.43587662337663,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166780587833219,2.166780587833219,0.0,0.0,85.55023923444976,0.0,2.166780587833219,2.166780587833219,0.0,0.0,85.55023923444976,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8982536066818527,1.8982536066818527,0.0,0.0,83.93444697544925,0.0,1.8982536066818527,1.8982536066818527,0.0,0.0,83.93444697544925,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8505504802061372,1.8505504802061372,0.0,0.0,83.25720309205903,0.0,1.8505504802061372,1.8505504802061372,0.0,0.0,83.25720309205903,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6111523738787639,1.6111523738787639,0.005713306290350225,0.0,85.48820202251044,0.005713306290350225,1.6111523738787639,1.6111523738787639,0.005713306290350225,0.005713306290350225,85.48820202251044,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8201768540631251,1.8201768540631251,0.006454527851287678,0.0,84.92867746724328,0.006454527851287678,1.8201768540631251,1.8201768540631251,0.006454527851287678,0.006454527851287678,84.92867746724328,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7977806707581676,1.7977806707581676,0.0,0.0,83.9191618622528,0.0,1.7977806707581676,1.7977806707581676,0.0,0.0,83.9191618622528,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7387351554065573,1.7387351554065573,0.005682141030740382,0.0,82.8058412409796,0.005682141030740382,1.7387351554065573,1.7387351554065573,0.005682141030740382,0.005682141030740382,82.8058412409796,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840982546864899,1.7840982546864899,0.01292824822236587,0.0,84.0917905623788,0.01292824822236587,1.7840982546864899,1.7840982546864899,0.01292824822236587,0.01292824822236587,84.0917905623788,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043117744610282,2.043117744610282,0.006633499170812604,0.0,85.56550580431177,0.006633499170812604,2.043117744610282,2.043117744610282,0.006633499170812604,0.006633499170812604,85.56550580431177,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863406408094435,1.6863406408094435,0.0064859255415747824,0.0,82.85121286807627,0.0064859255415747824,1.6863406408094435,1.6863406408094435,0.0064859255415747824,0.0064859255415747824,82.85121286807627,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768698603315494,1.768698603315494,0.0,0.0,82.65892181177392,0.0,1.768698603315494,1.768698603315494,0.0,0.0,82.65892181177392,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7051842598376017,1.7051842598376017,0.012492192379762648,0.0,83.19175515302936,0.012492192379762648,1.7051842598376017,1.7051842598376017,0.012492192379762648,0.012492192379762648,83.19175515302936,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.021018593371059,2.021018593371059,0.0073491585213493055,0.0,84.72844859263614,0.0073491585213493055,2.021018593371059,2.021018593371059,0.0073491585213493055,0.0073491585213493055,84.72844859263614,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8103387313485608,1.8103387313485608,0.014143271338660631,0.0,81.9673290432077,0.014143271338660631,1.8103387313485608,1.8103387313485608,0.014143271338660631,0.014143271338660631,81.9673290432077,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8637451202619317,1.8637451202619317,0.0,0.0,85.09003903790455,0.0,1.8637451202619317,1.8637451202619317,0.0,0.0,85.09003903790455,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7351252444949208,1.7351252444949208,0.0,0.0,81.65183923275916,0.0,1.7351252444949208,1.7351252444949208,0.0,0.0,81.65183923275916,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9637053087757312,1.9637053087757312,0.013542795232936077,0.0,84.27681473456121,0.013542795232936077,1.9637053087757312,1.9637053087757312,0.013542795232936077,0.013542795232936077,84.27681473456121,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867924528301887,1.8867924528301887,0.005805515239477504,0.0,82.14804063860667,0.005805515239477504,1.8867924528301887,1.8867924528301887,0.005805515239477504,0.005805515239477504,82.14804063860667,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9439504507266818,1.9439504507266818,0.012264671613417549,0.0,82.39406389893911,0.012264671613417549,1.9439504507266818,1.9439504507266818,0.012264671613417549,0.012264671613417549,82.39406389893911,0.0
